rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,country,subjects_offered,year,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,female_ratio,male_ratio
84.0,University of Montreal,59.8,84.0,54.0,85.0,74.6,69.0,95.0,30.0,57.9,83.0,60.9,229.0,Canada,"General Engineering,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Sociology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Architecture,Mathematics & Statistics,Chemical Engineering,Chemistry,Law,Veterinary Science,Sport Science,Geography,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Psychology,Computer Science,Other Health",2013-01-01,,,,,
85.0,UNSW Sydney,59.6,85.0,52.6,91.0,84.8,29.0,50.5,122.0,63.8,67.0,56.7,255.0,Australia,"Sport Science,Chemistry,Electrical & Electronic Engineering,Psychology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Geography,History, Philosophy & Theology,Computer Science,Business & Management,Law,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Education,Sociology",2013-01-01,,,,,
86.0,"Nanyang Technological University, Singapore",59.4,86.0,45.7,134.0,90.5,7.0,99.5,15.0,66.9,57.0,54.5,272.0,Singapore,"Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",2013-01-01,,,,,
87.0,Tufts University,59.1,87.0,52.6,90.0,39.6,266.0,39.4,219.0,36.4,194.0,94.8,28.0,United States,"Other Health,Business & Management,Veterinary Science,Geography,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Computer Science,General Engineering,Psychology,Chemical Engineering,Architecture,Chemistry,Electrical & Electronic Engineering,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy,Education,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Agriculture & Forestry",2013-01-01,,,,,
88.0,McMaster University,59.0,88.0,42.3,164.0,66.9,104.0,98.0,25.0,47.9,118.0,81.7,88.0,Canada,"Accounting & Finance,Communication & Media Studies,Chemical Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Archaeology,General Engineering,Chemistry,Computer Science,Mechanical & Aerospace Engineering,Other Health,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Sport Science,Sociology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",2013-01-01,,,,,
89.0,University of Groningen,58.8,89.0,43.8,153.0,49.8,214.0,85.2,36.0,61.0,75.0,71.6,154.0,Netherlands,"General Engineering,Accounting & Finance,Chemical Engineering,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Geography,Archaeology,Law,Business & Management,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Communication & Media Studies,Chemistry,Politics & International Studies (incl Development Studies)",2013-01-01,,,,,
89.0,University of Zurich,58.8,90.0,50.0,104.0,84.1,34.0,38.3,237.0,41.6,158.0,80.0,99.0,Switzerland,"Archaeology,Biological Sciences,Sociology,Art, Performing Arts & Design,Law,Communication & Media Studies,Computer Science,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Veterinary Science,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Psychology,Other Health,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Geography,Business & Management,Education,Politics & International Studies (incl Development Studies)",2013-01-01,,,,,
91.0,University of Colorado Boulder,58.7,91.0,42.3,165.0,34.7,298.0,,388.0,44.4,136.0,97.1,15.0,United States,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Sociology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Law,General Engineering,Psychology,Geography",2013-01-01,,,,,
92.0,Paris-Sud University,58.6,92.0,48.0,119.0,63.9,127.0,28.4,358.0,45.9,127.0,82.9,79.0,France,"Medicine & Dentistry,Computer Science,Physics & Astronomy,Sport Science,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Other Health,Accounting & Finance,Biological Sciences,General Engineering,Business & Management,Civil Engineering,Mathematics & Statistics,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
93.0,Ghent University,58.4,93.0,46.4,128.0,49.1,217.0,95.9,28.0,56.7,87.0,71.3,158.0,Belgium,"Accounting & Finance,Education,Economics & Econometrics,General Engineering,Psychology,Archaeology,Computer Science,Sport Science,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry,Sociology",2013-01-01,,,,,
94.0,University of Notre Dame,58.3,95.0,48.3,115.0,41.6,259.0,29.8,341.0,39.6,179.0,93.5,33.0,United States,"Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Education,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Civil Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,General Engineering,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Sociology,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science",2013-01-01,,,,,
94.0,Michigan State University,58.3,94.0,51.8,93.0,36.8,282.0,32.6,300.0,56.8,86.0,73.8,134.0,United States,"Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Architecture,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,General Engineering,Geography,Communication & Media Studies,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Mathematics & Statistics,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Other Health,Archaeology,Physics & Astronomy,Agriculture & Forestry,History, Philosophy & Theology",2013-01-01,,,,,
96.0,"University of California, Irvine",58.2,96.0,44.0,152.0,35.2,294.0,42.1,184.0,47.2,119.0,90.3,48.0,United States,"Languages, Literature & Linguistics,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Economics & Econometrics,Sociology,Civil Engineering,Business & Management,General Engineering,Architecture,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology",2013-01-01,,,,,
97.0,"University of Maryland, College Park",57.9,97.0,44.9,141.0,40.4,264.0,32.1,309.0,51.4,106.0,83.9,75.0,United States,"Chemical Engineering,Business & Management,Architecture,History, Philosophy & Theology,Chemistry,Other Health,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology,Politics & International Studies (incl Development Studies),Education,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Veterinary Science,General Engineering,Economics & Econometrics,Sport Science,Geography,Biological Sciences,Mathematics & Statistics,Computer Science",2013-01-01,,,,,
98.0,University of Arizona,57.7,98.0,47.0,127.0,31.3,320.0,83.9,39.0,53.7,99.0,76.9,116.0,United States,"Physics & Astronomy,Chemical Engineering,Chemistry,Architecture,Other Health,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Archaeology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Education,Veterinary Science,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Biological Sciences,Geography,Economics & Econometrics,Law,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering",2013-01-01,,,,,
99.0,Humboldt University of Berlin,57.5,99.0,55.4,79.0,57.5,163.0,,374.0,58.7,81.0,59.5,236.0,Germany,"Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Agriculture & Forestry,Medicine & Dentistry,Psychology,Sociology,Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Accounting & Finance,Communication & Media Studies,Sport Science,Archaeology",2013-01-01,,,,,
99.0,Monash University,57.5,100.0,47.8,121.0,66.4,109.0,70.0,68.0,60.6,77.0,60.9,228.0,Australia,"Economics & Econometrics,Sport Science,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Communication & Media Studies,Architecture,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Sociology,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Psychology,Archaeology,Computer Science,Chemistry,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
99.0,Rutgers University – New Brunswick,57.5,101.0,50.9,98.0,27.9,350.0,35.8,260.0,61.3,73.0,69.5,167.0,United States,"Psychology,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Chemical Engineering,Communication & Media Studies,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Business & Management,Electrical & Electronic Engineering,Geography,Architecture,Education,Sport Science,History, Philosophy & Theology,Civil Engineering,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies)",2013-01-01,,,,,
102.0,University of Rochester,57.2,102.0,46.0,133.0,45.9,240.0,39.6,217.0,37.8,190.0,92.3,39.0,United States,"Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Sociology,Psychology,History, Philosophy & Theology,Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",2013-01-01,,,,,
103.0,University of York,57.1,103.0,41.9,168.0,71.9,77.0,38.4,234.0,43.9,140.0,83.4,77.0,United Kingdom,"General Engineering,Biological Sciences,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Psychology,History, Philosophy & Theology,Other Health,Business & Management,Chemistry,Archaeology,Mathematics & Statistics,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Education,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Geography",2013-01-01,,,,,
104.0,Case Western Reserve University,56.9,104.0,56.5,73.0,34.2,300.0,,367.0,42.0,153.0,80.4,95.0,United States,"Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Accounting & Finance,Chemistry,Law,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Geography,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Education,Psychology,History, Philosophy & Theology,Biological Sciences,Other Health,Sociology,Mechanical & Aerospace Engineering",2013-01-01,,,,,
105.0,Technical University of Munich,56.8,105.0,51.2,97.0,61.5,139.0,49.7,127.0,42.4,151.0,76.5,120.0,Germany,"Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Education,Sport Science,Architecture,General Engineering,Agriculture & Forestry,Sociology",2013-01-01,,,,,
106.0,Uppsala University,56.6,106.0,48.6,112.0,56.3,174.0,44.1,159.0,63.9,66.0,58.2,247.0,Sweden,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Archaeology,Law,Accounting & Finance,Psychology,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Geography,Chemical Engineering,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,Other Health,Sociology,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Biological Sciences",2013-01-01,,,,,
106.0,Vanderbilt University,56.6,107.0,51.5,96.0,27.5,356.0,53.0,113.0,40.9,167.0,85.0,72.0,United States,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",2013-01-01,,,,,
108.0,University of St Andrews,56.5,108.0,43.2,157.0,86.3,22.0,38.9,227.0,43.8,142.0,76.6,119.0,United Kingdom,"Other Health,Geography,Communication & Media Studies,Business & Management,Psychology,Sociology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Archaeology,Computer Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Biological Sciences,History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics",2013-01-01,,,,,
109.0,University of Helsinki,56.4,109.0,42.8,160.0,48.3,226.0,31.1,323.0,53.0,102.0,77.7,110.0,Finland,"Biological Sciences,Languages, Literature & Linguistics,Chemistry,Sociology,Other Health,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Law,Psychology,Economics & Econometrics,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Archaeology,Education,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
110.0,University of Sheffield,56.2,111.0,49.5,106.0,68.1,97.0,41.5,191.0,46.2,125.0,71.0,161.0,United Kingdom,"Education,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,General Engineering,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Business & Management,Civil Engineering,Chemistry,Sociology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies)",2013-01-01,,,,,
110.0,University of Sussex,56.2,112.0,34.9,232.0,76.7,62.0,32.1,310.0,39.5,181.0,91.1,42.0,United Kingdom,"Art, Performing Arts & Design,Computer Science,Psychology,Communication & Media Studies,Accounting & Finance,Biological Sciences,Electrical & Electronic Engineering,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Law,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Chemistry",2013-01-01,,,,,
110.0,Trinity College Dublin,56.2,110.0,41.9,167.0,84.5,31.0,32.8,299.0,33.5,213.0,88.1,57.0,Ireland,"Mechanical & Aerospace Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Geography,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Physics & Astronomy,Sport Science,Law,Accounting & Finance,Sociology,General Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Education,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Civil Engineering,Psychology",2013-01-01,,,,,
113.0,University of Cape Town,55.8,113.0,34.7,237.0,75.1,67.0,87.3,35.0,45.5,129.0,79.7,101.0,South Africa,"Other Health,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Archaeology,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Physics & Astronomy,History, Philosophy & Theology,Education,Sport Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Computer Science,Chemistry,Geography,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Sociology,Architecture,Law,Medicine & Dentistry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
114.0,Eindhoven University of Technology,55.6,114.0,44.1,150.0,69.8,86.0,100.0,2.0,51.8,104.0,63.8,201.0,Netherlands,"Civil Engineering,Mathematics & Statistics,Chemistry,Languages, Literature & Linguistics,Computer Science,Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
115.0,Maastricht University,55.5,115.0,39.7,180.0,85.2,28.0,99.1,18.0,53.2,101.0,62.5,217.0,Netherlands,"Business & Management,Communication & Media Studies,Chemical Engineering,Education,Accounting & Finance,Psychology,Chemistry,Biological Sciences,Other Health,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Law,General Engineering,History, Philosophy & Theology,Sociology,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",2013-01-01,,,,,
116.0,Aarhus University,55.3,116.0,35.7,222.0,66.4,108.0,69.7,69.0,54.6,95.0,71.6,153.0,Denmark,"Education,Psychology,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Archaeology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Accounting & Finance,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Computer Science,Geography,Chemistry,Other Health,Agriculture & Forestry,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Sociology,Languages, Literature & Linguistics",2013-01-01,,,,,
117.0,Stockholm University,55.2,117.0,31.3,274.0,52.2,197.0,32.0,311.0,43.8,141.0,93.0,36.0,Sweden,"Art, Performing Arts & Design,Architecture,Education,Communication & Media Studies,Law,Languages, Literature & Linguistics,Sociology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Biological Sciences,Chemistry,Geography,Politics & International Studies (incl Development Studies),Accounting & Finance,Other Health,Mathematics & Statistics,Economics & Econometrics,Psychology,Agriculture & Forestry,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Business & Management",2013-01-01,,,,,
118.0,University of Virginia (Main campus),55.0,118.0,55.9,78.0,27.9,351.0,48.6,133.0,43.0,146.0,73.5,139.0,United States,"Biological Sciences,Law,Art, Performing Arts & Design,Computer Science,Sport Science,Business & Management,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,Other Health,Archaeology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Communication & Media Studies",2013-01-01,,,,,
119.0,"Royal Holloway, University of London",54.9,119.0,30.5,279.0,92.5,4.0,31.9,312.0,27.7,262.0,99.0,11.0,United Kingdom,"Politics & International Studies (incl Development Studies),Mathematics & Statistics,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Law,Chemistry,General Engineering,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Sport Science,Archaeology,Economics & Econometrics,Education,Electrical & Electronic Engineering,Biological Sciences,Psychology,Sociology,Business & Management,Accounting & Finance,Medicine & Dentistry,Computer Science,Geography,History, Philosophy & Theology",2013-01-01,,,,,
120.0,University of Nottingham,54.8,120.0,48.1,118.0,70.1,85.0,38.3,236.0,50.8,108.0,62.8,214.0,United Kingdom,"Languages, Literature & Linguistics,Agriculture & Forestry,Law,History, Philosophy & Theology,Medicine & Dentistry,Architecture,Education,Sport Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Other Health,Chemistry,Archaeology,Computer Science,Veterinary Science,Civil Engineering,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Geography",2013-01-01,,,,,
121.0,University of Alberta,54.7,121.0,50.9,99.0,67.6,100.0,50.6,121.0,53.9,98.0,56.6,256.0,Canada,"Geography,Archaeology,Computer Science,Education,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Psychology,General Engineering,Medicine & Dentistry,History, Philosophy & Theology,Biological Sciences,Other Health,Chemistry,Art, Performing Arts & Design,Civil Engineering,Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Sport Science,Sociology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences",2013-01-01,,,,,
122.0,University of Florida,54.5,123.0,52.0,92.0,31.2,323.0,,389.0,62.9,69.0,56.0,260.0,United States,"Veterinary Science,Languages, Literature & Linguistics,Law,Geography,Psychology,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Medicine & Dentistry,Other Health,Economics & Econometrics,Sport Science,Chemical Engineering,Mathematics & Statistics,Business & Management,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Computer Science,General Engineering",2013-01-01,,,,,
122.0,"University of California, Santa Cruz",54.5,122.0,32.1,266.0,32.5,316.0,,386.0,39.6,178.0,99.9,4.0,United States,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Archaeology,Agriculture & Forestry,Business & Management,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Computer Science,Chemistry,Other Health,Mathematics & Statistics,Education,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Psychology",2013-01-01,,,,,
124.0,Dartmouth College,54.4,125.0,47.5,122.0,31.5,319.0,38.6,230.0,35.9,196.0,87.0,61.0,United States,"Physics & Astronomy,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Geography,Other Health,Art, Performing Arts & Design,Archaeology,Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Biological Sciences,Civil Engineering,Psychology,Chemistry,Politics & International Studies (incl Development Studies)",2013-01-01,,,,,
124.0,University of Warwick,54.4,126.0,48.9,109.0,80.9,48.0,35.3,269.0,50.5,110.0,58.8,240.0,United Kingdom,"Sociology,Geography,Chemistry,Accounting & Finance,Medicine & Dentistry,Psychology,Law,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Mathematics & Statistics,General Engineering,Other Health,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Business & Management,Biological Sciences,Communication & Media Studies",2013-01-01,,,,,
124.0,Chinese University of Hong Kong,54.4,124.0,53.7,87.0,62.6,134.0,44.5,155.0,63.1,68.0,45.1,348.0,Hong Kong,"General Engineering,Education,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Geography,Accounting & Finance,Other Health,Medicine & Dentistry,Economics & Econometrics,Psychology,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Architecture,Business & Management,Art, Performing Arts & Design,Law,Computer Science,Biological Sciences",2013-01-01,,,,,
127.0,Radboud University Nijmegen,54.0,127.0,35.7,224.0,53.4,191.0,41.7,189.0,54.3,97.0,73.3,140.0,Netherlands,"History, Philosophy & Theology,Economics & Econometrics,Psychology,Geography,Archaeology,Communication & Media Studies,Business & Management,Medicine & Dentistry,Physics & Astronomy,Law,Languages, Literature & Linguistics,Accounting & Finance,Biological Sciences,Computer Science,Education,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Chemistry",2013-01-01,,,,,
